date,total,out_of_region,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2024-12-21,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-01-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-02-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-03-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-04-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-05-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-06-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-07-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-08-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-09-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-10-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-11-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2025-12-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
2026-01-01,7,1,0,1,0,1,0,2,0,0,1,0,0,0,1
